data,ponto,manganes_total,turbidez,periodo,rompimento,ferro_dissolvido,intervalo
2017-01-18 16:15:00,RD045,0.246,222.0,Chuvoso,Depois,0.1431,5 days 04:15:00
2017-01-20 18:00:00,RD067,0.0547,153.0,Chuvoso,Depois,0.207,2 days 01:45:00
2017-02-20 17:50:00,RD011,0.331,123.0,Chuvoso,Depois,0.184,30 days 23:50:00
2017-02-20 18:30:00,RD071,0.14,53.2,Chuvoso,Depois,0.212,0 days 00:40:00
2017-02-21 18:30:00,RD035,0.371,270.0,Chuvoso,Depois,0.1209,1 days 00:00:00
2017-02-22 18:10:00,RD045,0.0442,39.9,Chuvoso,Depois,0.357,0 days 23:40:00
2017-02-23 17:00:00,RD067,0.0403,67.6,Chuvoso,Depois,0.343,0 days 22:50:00
2017-07-17 20:15:00,RD045,0.022,4.62,Estiagem,Depois,0.1226,144 days 03:15:00
2017-07-18 11:20:00,RD011,0.115,40.9,Estiagem,Depois,0.1432,0 days 15:05:00
2017-07-18 12:00:00,RD071,0.0692,16.5,Estiagem,Depois,0.0956,0 days 00:40:00
2017-07-19 19:00:00,RD067,0.0119,7.54,Estiagem,Depois,0.0682,1 days 07:00:00
2017-07-20 18:46:00,RD011,,,Estiagem,Depois,,0 days 23:46:00
2017-07-21 13:00:00,RD035,0.0894,52.1,Estiagem,Depois,0.1363,0 days 18:14:00
2017-08-07 15:50:00,RD011,0.0665,49.3,Estiagem,Depois,0.1309,17 days 02:50:00
2017-08-07 16:30:00,RD071,0.0459,15.2,Estiagem,Depois,0.1158,0 days 00:40:00
2017-08-08 15:30:00,RD035,0.113,34.7,Estiagem,Depois,0.0523,0 days 23:00:00
2017-08-09 15:40:00,RD045,0.018,9.05,Estiagem,Depois,0.1113,1 days 00:10:00
2017-08-10 15:30:00,RD067,0.0267,19.8,Estiagem,Depois,0.0475,0 days 23:50:00
2017-09-11 16:25:00,RD011,0.0397,12.2,Estiagem,Depois,0.1735,32 days 00:55:00
2017-09-11 17:00:00,RD071,0.0312,6.04,Estiagem,Depois,0.088,0 days 00:35:00
2017-09-12 17:30:00,RD035,0.0874,135.0,Estiagem,Depois,0.219,1 days 00:30:00
2017-09-13 15:40:00,RD045,0.0249,6.16,Estiagem,Depois,0.0699,0 days 22:10:00
2017-09-14 15:20:00,RD067,0.0137,7.32,Estiagem,Depois,0.0347,0 days 23:40:00
2017-10-03 11:40:00,RD011,0.133,34.8,Chuvoso,Depois,0.1215,18 days 20:20:00
2017-10-03 12:30:00,RD071,0.0437,18.6,Chuvoso,Depois,0.1573,0 days 00:50:00
2017-10-06 14:30:00,RD035,0.146,42.8,Chuvoso,Depois,0.0585,3 days 02:00:00
2017-10-11 17:30:00,RD045,0.0318,6.94,Chuvoso,Depois,0.0601,5 days 03:00:00
2017-10-12 18:50:00,RD067,0.011,5.43,Chuvoso,Depois,0.0618,1 days 01:20:00
2017-11-06 14:45:00,RD011,1.695,960.0,Chuvoso,Depois,0.317,24 days 19:55:00
2017-11-06 15:35:00,RD071,1.234,586.0,Chuvoso,Depois,0.311,0 days 00:50:00
2017-11-07 15:40:00,RD035,0.0948,56.2,Chuvoso,Depois,0.1097,1 days 00:05:00
2017-11-08 13:15:00,RD045,0.0459,79.9,Chuvoso,Depois,0.1036,0 days 21:35:00
2017-11-09 15:00:00,RD067,0.025,32.9,Chuvoso,Depois,0.0421,1 days 01:45:00
2017-12-04 15:55:00,RD011,2.723,1462.0,Chuvoso,Depois,0.251,25 days 00:55:00
2017-12-04 16:30:00,RD071,1.84,608.0,Chuvoso,Depois,0.226,0 days 00:35:00
2017-12-06 11:15:00,RD035,1.821,3062.0,Chuvoso,Depois,0.596,1 days 18:45:00
2017-12-06 16:25:00,RD045,0.789,1449.0,Chuvoso,Depois,0.302,0 days 05:10:00
2017-12-07 15:00:00,RD067,0.173,426.0,Chuvoso,Depois,0.1628,0 days 22:35:00
2018-01-09 10:40:00,RD011,0.883,229.0,Chuvoso,Depois,0.1845,32 days 19:40:00
2018-01-09 11:30:00,RD071,0.473,136.0,Chuvoso,Depois,0.1948,0 days 00:50:00
2018-01-12 12:30:00,RD035,0.205,145.0,Chuvoso,Depois,0.27,3 days 01:00:00
2018-01-17 17:40:00,RD045,0.0315,41.6,Chuvoso,Depois,0.567,5 days 05:10:00
2018-01-19 18:20:00,RD067,0.033,61.4,Chuvoso,Depois,0.269,2 days 00:40:00
2018-02-05 14:45:00,RD011,2.187,732.0,Chuvoso,Depois,0.296,16 days 20:25:00
2018-02-05 15:30:00,RD071,1.343,521.0,Chuvoso,Depois,0.645,0 days 00:45:00
2018-02-06 16:00:00,RD035,0.414,337.0,Chuvoso,Depois,0.329,1 days 00:30:00
2018-02-07 15:00:00,RD045,0.451,674.0,Chuvoso,Depois,0.712,0 days 23:00:00
2018-02-08 15:30:00,RD067,0.236,591.0,Chuvoso,Depois,0.386,1 days 00:30:00
2018-03-05 16:00:00,RD011,0.969,250.0,Chuvoso,Depois,0.1496,25 days 00:30:00
2018-03-05 16:45:00,RD071,0.576,118.0,Chuvoso,Depois,0.1475,0 days 00:45:00
2018-03-06 18:00:00,RD035,0.24,254.0,Chuvoso,Depois,0.1191,1 days 01:15:00
2018-03-07 17:00:00,RD045,0.141,230.0,Chuvoso,Depois,0.1557,0 days 23:00:00
2018-03-08 14:40:00,RD067,0.0702,155.0,Chuvoso,Depois,0.1644,0 days 21:40:00
2018-04-10 11:40:00,RD011,0.802,122.0,Estiagem,Depois,0.222,32 days 21:00:00
2018-04-10 12:20:00,RD071,0.349,66.8,Estiagem,Depois,0.272,0 days 00:40:00
2018-04-13 14:00:00,RD035,0.2112,105.0,Estiagem,Depois,0.218,3 days 01:40:00
2018-04-18 18:00:00,RD045,0.0517,73.4,Estiagem,Depois,0.282,5 days 04:00:00
2018-04-22 15:40:00,RD067,0.0308,53.4,Estiagem,Depois,0.424,3 days 21:40:00
2018-05-07 17:15:00,RD011,0.0373,17.0,Estiagem,Depois,0.33,15 days 01:35:00
2018-05-07 18:20:00,RD071,0.022,18.3,Estiagem,Depois,0.272,0 days 01:05:00
2018-05-08 18:10:00,RD035,0.0325,41.8,Estiagem,Depois,0.351,0 days 23:50:00
2018-05-09 18:00:00,RD045,0.0097,13.2,Estiagem,Depois,0.403,0 days 23:50:00
2018-05-10 16:20:00,RD067,0.0213,16.5,Estiagem,Depois,0.325,0 days 22:20:00
2018-06-04 16:50:00,RD011,0.0512,11.7,Estiagem,Depois,0.229,25 days 00:30:00
2018-06-04 17:20:00,RD071,0.0826,9.12,Estiagem,Depois,0.225,0 days 00:30:00
2018-06-05 17:40:00,RD035,0.0851,20.0,Estiagem,Depois,0.285,1 days 00:20:00
2018-06-06 17:00:00,RD045,0.0211,10.7,Estiagem,Depois,0.334,0 days 23:20:00
2018-06-07 16:20:00,RD067,0.0111,7.57,Estiagem,Depois,0.227,0 days 23:20:00
